Car ID,Brand,Model,Year,Color,Mileage,Price,Location
1,Toyota,Camry,2018,White,45000.0,18000.0,Los Angeles
2,Honda,Civic,2019,,35000.0,16000.0,New York
3,Ford,Focus,2017,Silver,,14000.0,Chicago
4,Chevrolet,Cruze,2016,Red,,12000.0,Miami
5,Hyundai,Elantra,2018,Black,40000.0,,San Francisco
6,Toyota,Corolla,2020,Gray,,19000.0,Dallas
7,Honda,Accord,2019,,30000.0,18000.0,Atlanta
8,FORD,mustang,2015,Yellow,65000.0,22000.0,Phoenix
9,Chevrolet,Impala,2017,Black,,16000.0,Houston
10,Hyundai,sonata,2016,Blue,,,Seattle
11,Toyota,rav4,2017,Gray,55000.0,$19000.0,Los Angeles
12,Honda,CR-V,2020,Red,30000.0,23000.0,New York
13,Ford,escape,2019,White,40000.0,21000.0,Chicago
14,Chevrolet,Equinox,Two Thousand 2018,Black,,,Miami
15,Hyundai,kona,2019,,35000.0,20000.0,San Francisco
16,Toyota,Highlander,2016,,,25000.0,Dallas
17,Honda,Pilot,2017,Gray,55000.0,,Atlanta
18,Ford,Explorer,1800,White,,23000.0,Phoenix
19,Chevrolet,Traverse,2020,Black,0.0,28000.0,Houston
20,Hyundai,S@nt@ Fe,2019,Red,40000.0,,Seattle
21,Toyota,4Runner,2015,Silver,70000.0,,Los Angeles
22,Honda,Odyssey,2016,White,55000.0 miles,22000.0,New York
23,Ford,Edge,2017,Blue,50000.0,21000.0,Chicago
24,Chevrolet,Tahoe,2018,,,26000.0,Miami
25,Hyundai,Palisade,2019,Silver,30000.0,29000.0,San Francisco
26,Toyota,Sienna,2020,Red,nan km,27000.0,Dallas
27,Honda,Fit,2017,,55000.0,12000.0,Atlanta
28,Ford,Fusion,2018,White,50000.0,15000.0,Phoenix
29,Chevrolet,Malibu,2019,,40000.0,,Houston
30,Hyundai,Venue,2016,,60000.0,14000.0,Seattle
31,Toyota,Yaris,2017,Black,55000.0,,Los Angeles
32,Honda,HR-V,2018,White,50000.0,,New York
33,Ford,EcoSport,2019,,40000.0,17000.0,Chicago
34,Chevrolet,Spark,2020,Blue,35000.0,14000.0,Miami
35,Hyundai,accent,2015,Silver,70000.0 miles,12000.0,San Francisco
36,Toyota,Prius,2016,Gray,55000.0 km,15000.0,Dallas
37,Honda,Civic,2017,White,50000.0,17000.0,Atlanta
38,Ford,Fiesta,2018,Blue,40000.0,14000.0,Phoenix
39,Chevrolet,cruze,2019,,,16000.0,Houston
40,Hyundai,Elantra,2020,,,18000.0,Seattle
41,TOYOTA,Camry,2017,Silver,60000.0,19000.0,Los Angeles
42,HONDA,Accord,2018,White,50000.0,,New York
43,Ford,Mustang,Two Thousand 2019,Blue,,22000.0,Chicago
44,Chevrolet,Camaro,2020,Red,35000.0,,Miami
45,Hyundai,Genesis,2015,,70000.0,,San Francisco
46,Toyota,Avalon,2016,Silver,55000.0,19000.0,Dallas
47,Honda,Civic,Two Thousand 2017,,0.0,17000.0,Atlanta
48,Ford,Fusion,2018,White,45000.0,16000.0,Phoenix
49,Chevrolet,impala,Two Thousand 2019,,,18000.0,Houston
50,Hyundai,Sonata,2020,Red,35000.0,20000.0,Seattle
51,Toyota,Coroll@,2017,,55000.0,19000.0,Los Angeles
52,Honda,CR-V,2018,White,,23000.0,New York
53,Ford,Escape,2019,Blue,40000.0 km,21000.0,Chicago
54,Chevr0let,Equinox,2020,Black,,24000.0,Miami
55,Hyundai,Tucson,2015,,70000.0,$20000.0,San Francisco
56,Toyota,Rav4,2016,Gray,,22000.0,Dallas
57,Honda,Pilot,2017,White,50000.0,,Atlanta
58,Ford,Explorer,Two Thousand 2018,Blue,45000.0,,Phoenix
59,Chevrolet,Traverse,Two Thousand 2019,Black,,,Houston
60,Hyundai,Santa Fe,2020,Red,35000.0,25000.0,Seattle
61,T0y0ta,4Runner,2015,Silver,,28000.0,Los Angeles
62,Honda,Odyssey,2016,White,55000.0,22000.0,New York
63,FORD,edge,2017,,nan miles,,Chicago
64,Chevrolet,Tahoe,2018,,45000.0,26000.0,Miami
65,Hyundai,Palisade,2019,Silver,30000.0,29000.0,San Francisco
66,T0y0ta,Sienna,2020,,35000.0,,Dallas
67,HONDA,fit,2017,Gray,55000.0,12000.0,Atlanta
68,Ford,Fusion,2018,White,50000.0,15000.0,Phoenix
69,CHEVROLET,Malibu,2019,Blue,40000.0,17000.0,Houston
70,Hyundai,Venue,2016,,60000.0,,Seattle
71,Toyota,Yaris,2017,Black,55000.0,,Los Angeles
72,Toyota,Camry,Two Thousand 2017,White,45000.0,18000.0,Los Angeles
73,Honda,Civic,2015,Blue,,16000.0,New York
74,Toyota,Camry,2018,White,55000.0,14000.0,Los Angeles
75,Honda,civic,2016,Blue,60000.0,$12000.0,New York
76,Ford,Focus,2019,Silver,40000.0 km,15000.0,Chicago
77,Chevrolet,Cruze,2015,Red,nan km,19000.0,Miami
78,Hyundai,Elantra,2020,,30000.0,,San Francisco
79,TOYOTA,Corolla,2016,Gray,65000.0,,Dallas
80,HONDA,Accord,2015,White,,16000.0,Atlanta
81,Ford,Mustang,2020,Yellow,50000.0,14000.0,Phoenix
82,CHEVROLET,Impala,2025,Black,55000.0,,Houston
83,Hyundai,Sonata,2020,,,23000.0,Seattle
84,T0y0ta,Rav5,2017,Gray,nan km,21000.0,Los Angeles
85,Honda,cr-v,2019,Red,45000.0 km,18000.0,New York
86,Ford,Escape,2020,,,20000.0,Chicago
87,Chevrolet,Equinox,2019,,60000.0,25000.0,Miami
88,Hyundai,Kona,2017,,,24000.0,San Francisco
89,Toyota,Highlander,2016,Silver,nan miles,23000.0,Dallas
90,Honda,Pilot,2018,,35000.0,28000.0,Atlanta
91,Ford,Explorer,2018,White,40000.0,100,Phoenix
92,CHEVROLET,Traverse,Two Thousand 2016,,,27000.0,Houston
93,Hyundai,S@nt@ Fe,2020,Red,,22000.0,Seattle
94,Toyota,4Runner,2017,,50000.0,,Los Angeles
95,Honda,Odyssey,2017,,45000.0,26000.0,New York
96,Ford,Edge,2019,Blue,30000.0,29000.0,Chicago
97,Chevrolet,Tahoe,Two Thousand 2018,,35000.0,,Miami
98,Hyundai,Palisade,2018,Silver,55000.0,$nan,San Francisco
99,Toyota,Sienna,2019,,50000.0,15000.0,Dallas
100,Honda,Fit,2017,Gray,40000.0,17000.0,Atlanta
101,Ford,Fusion,2015,White,60000.0,,Phoenix
102,Chevrolet,Malibu,2016,Blue,,12000.0,Houston
103,Hyundai,Venue,2018,Silver,50000.0,15000.0,Seattle
104,T0y0ta,yaris,2018,,40000.0 miles,17000.0,Los Angeles
105,Honda,HR-V,2016,,35000.0,14000.0,New York
106,Ford,EcoSport,2017,Red,70000.0,12000.0,Chicago
107,Chevrolet,spark,2017,Blue,55000.0,15000.0,Miami
108,Hyundai,Accent,Two Thousand 2019,,50000.0,17000.0,San Francisco
109,Toyota,Prius,2017,,40000.0 km,14000.0,Dallas
110,Honda,Civic,2015,,45000.0,,Atlanta
111,Ford,Fiesta,2019,,35000.0,18000.0,Phoenix
112,Chevrolet,Cruze,2018,,,19000.0,Houston
113,Hyundai,Elantra,2016,Red,,18000.0,Seattle
114,Toyota,Camry,2019,Silver,40000.0,22000.0,Los Angeles
115,Honda,Accord,Two Thousand 2020,,35000.0,25000.0,New York
